point_id,cluster
0,2
1,2
2,2
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,10
11,3
12,9
13,9
14,10
15,9
16,10
17,2
18,9
19,2
20,2
21,2
22,2
23,10
24,10
25,7
26,10
27,10
28,10
29,4
30,10
31,7
32,10
33,7
34,7
35,10
36,4
37,10
38,10
39,10
40,7
41,10
42,4
43,10
44,7
45,7
46,10
47,7
48,16
49,16
50,10
51,4
52,16
53,10
54,10
55,10
56,4
57,4
58,4
59,1
60,9
61,2
62,2
63,2
64,2
65,7
66,16
67,16
68,10
69,4
70,4
71,7
72,10
73,16
74,10
75,7
76,10
77,4
78,10
79,7
80,4
81,7
82,4
83,16
84,10
85,16
86,10
87,10
88,7
89,10
90,4
91,10
92,10
93,4
94,4
95,10
96,10
97,10
98,10
99,4
100,7
101,4
102,7
103,10
104,4
105,10
106,4
107,10
108,7
109,4
110,10
111,10
112,10
113,4
114,10
115,7
116,16
117,4
118,4
119,7
120,7
121,7
122,4
123,10
124,4
125,4
126,10
127,4
128,10
129,7
130,10
131,7
132,4
133,10
134,4
135,16
136,16
137,16
138,4
139,4
140,4
141,4
142,7
143,4
144,4
145,7
146,7
147,10
148,4
149,10
150,10
151,4
152,10
153,7
154,7
155,7
156,2
157,2
158,2
159,7
160,7
161,7
162,10
163,16
164,7
165,7
166,4
167,10
168,4
169,10
170,7
171,10
172,10
173,10
174,4
175,10
176,7
177,16
178,16
179,10
180,4
181,7
182,10
183,10
184,16
185,4
186,4
187,7
188,7
189,10
190,10
191,7
192,16
193,10
194,16
195,16
196,7
197,16
198,4
199,16
200,10
201,16
202,7
203,4
204,4
205,7
206,7
207,10
208,7
209,10
210,10
211,4
212,16
213,7
214,4
215,10
216,7
217,7
218,10
219,7
220,4
221,4
222,7
223,16
224,4
225,7
226,10
227,4
228,4
229,10
230,7
231,7
232,4
233,10
234,7
235,7
236,4
237,10
238,7
239,10
240,10
241,10
242,7
243,4
244,7
245,4
246,10
247,4
248,7
249,7
250,7
251,10
252,4
253,16
254,10
255,10
256,7
257,1
258,9
259,2
260,1
261,1
262,7
263,16
264,16
265,4
266,4
267,4
268,4
269,16
270,16
271,16
272,10
273,7
274,16
275,7
276,7
277,4
278,4
279,7
280,10
281,4
282,16
283,7
284,7
285,4
286,7
287,4
288,7
289,4
290,4
291,7
292,4
293,7
294,7
295,7
296,7
297,16
298,7
299,10
300,4
301,7
302,10
303,7
304,16
305,4
306,16
307,4
308,7
309,7
310,7
311,4
312,7
313,4
314,7
315,4
316,7
317,7
318,4
319,7
320,7
321,4
322,4
323,7
324,7
325,4
326,4
327,16
328,4
329,7
330,7
331,16
332,4
333,7
334,7
335,7
336,7
337,16
338,7
339,2
340,2
341,1
342,1
343,7
344,7
345,16
346,7
347,7
348,7
349,16
350,7
351,7
352,7
353,7
354,16
355,7
356,7
357,7
358,16
359,7
360,16
361,12
362,16
363,7
364,7
365,16
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,16
376,7
377,7
378,7
379,12
380,7
381,16
382,2
383,2
384,2
385,1
386,16
387,7
388,7
389,7
390,16
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,7
399,7
400,7
401,16
402,7
403,7
404,16
405,7
406,7
407,16
408,12
409,16
410,7
411,7
412,7
413,7
414,7
415,7
416,12
417,16
418,7
419,7
420,12
421,12
422,7
423,7
424,7
425,12
426,12
427,7
428,7
429,7
430,7
431,16
432,12
433,7
434,7
435,16
436,7
437,7
438,7
439,1
440,9
441,2
442,2
443,2
444,1
445,7
446,12
447,16
448,7
449,7
450,7
451,12
452,7
453,12
454,12
455,7
456,7
457,7
458,7
459,16
460,7
461,7
462,7
463,7
464,7
465,16
466,7
467,7
468,16
469,16
470,7
471,16
472,7
473,7
474,7
475,7
476,12
477,7
478,7
479,12
480,16
481,7
482,16
483,12
484,16
485,12
486,16
487,12
488,12
489,16
490,7
491,12
492,12
493,12
494,7
495,7
496,12
497,7
498,1
499,2
500,16
501,7
502,16
503,12
504,12
505,7
506,12
507,12
508,7
509,16
510,7
511,12
512,16
513,7
514,12
515,12
516,7
517,12
518,16
519,12
520,7
521,16
522,7
523,12
524,12
525,16
526,12
527,16
528,7
529,12
530,12
531,12
532,12
533,12
534,16
535,7
536,12
537,12
538,16
539,12
540,7
541,12
542,7
543,16
544,7
545,12
