point_id,cluster
0,0
1,0
2,0
3,3
4,3
5,3
6,0
7,0
8,0
9,0
10,3
11,0
12,3
13,0
14,3
15,3
16,3
17,0
18,0
19,0
20,0
21,0
22,0
23,3
24,3
25,1
26,3
27,3
28,3
29,3
30,3
31,1
32,3
33,1
34,1
35,3
36,3
37,3
38,3
39,3
40,1
41,3
42,3
43,3
44,1
45,1
46,3
47,1
48,1
49,1
50,3
51,3
52,1
53,3
54,3
55,3
56,3
57,3
58,3
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,1
68,3
69,3
70,3
71,1
72,3
73,1
74,3
75,1
76,3
77,3
78,3
79,1
80,3
81,1
82,3
83,1
84,3
85,1
86,3
87,3
88,1
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,1
101,3
102,1
103,3
104,3
105,3
106,3
107,3
108,1
109,3
110,3
111,3
112,3
113,3
114,3
115,1
116,1
117,3
118,3
119,1
120,1
121,1
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,1
130,3
131,1
132,3
133,3
134,3
135,1
136,1
137,1
138,3
139,3
140,3
141,3
142,1
143,3
144,3
145,1
146,1
147,3
148,3
149,3
150,3
151,3
152,3
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,1
161,1
162,3
163,1
164,1
165,1
166,3
167,3
168,3
169,3
170,1
171,3
172,3
173,3
174,3
175,3
176,1
177,1
178,1
179,3
180,3
181,1
182,3
183,3
184,1
185,3
186,3
187,1
188,1
189,3
190,3
191,1
192,1
193,3
194,1
195,1
196,1
197,1
198,3
199,1
200,3
201,1
202,1
203,3
204,3
205,1
206,1
207,3
208,1
209,3
210,3
211,3
212,1
213,1
214,3
215,3
216,1
217,1
218,3
219,1
220,3
221,3
222,1
223,1
224,3
225,1
226,3
227,3
228,3
229,3
230,1
231,1
232,3
233,3
234,1
235,1
236,3
237,3
238,1
239,3
240,3
241,3
242,1
243,3
244,1
245,3
246,3
247,3
248,1
249,1
250,1
251,3
252,3
253,1
254,3
255,3
256,1
257,3
258,0
259,0
260,0
261,3
262,1
263,1
264,1
265,3
266,3
267,3
268,3
269,1
270,1
271,1
272,3
273,1
274,1
275,1
276,1
277,3
278,3
279,1
280,3
281,3
282,1
283,1
284,1
285,3
286,1
287,3
288,1
289,3
290,3
291,1
292,3
293,1
294,1
295,1
296,1
297,1
298,1
299,3
300,3
301,1
302,3
303,1
304,1
305,3
306,1
307,3
308,1
309,1
310,1
311,3
312,1
313,3
314,1
315,3
316,1
317,1
318,3
319,1
320,1
321,3
322,3
323,1
324,1
325,3
326,3
327,1
328,3
329,1
330,1
331,1
332,3
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,3
342,3
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,3
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,3
380,1
381,1
382,0
383,0
384,0
385,3
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,3
417,1
418,1
419,1
420,3
421,3
422,1
423,1
424,1
425,3
426,1
427,1
428,1
429,1
430,1
431,1
432,3
433,1
434,1
435,1
436,1
437,1
438,1
439,3
440,0
441,0
442,0
443,0
444,3
445,1
446,3
447,1
448,1
449,1
450,1
451,3
452,1
453,3
454,3
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,3
477,1
478,1
479,3
480,1
481,1
482,1
483,3
484,1
485,3
486,1
487,3
488,3
489,1
490,1
491,3
492,3
493,3
494,1
495,1
496,3
497,1
498,3
499,0
500,1
501,1
502,1
503,3
504,3
505,1
506,3
507,3
508,1
509,1
510,1
511,3
512,1
513,1
514,3
515,3
516,1
517,1
518,1
519,3
520,1
521,1
522,1
523,3
524,3
525,1
526,3
527,1
528,1
529,3
530,3
531,3
