point_id,cluster
0,3
1,3
2,3
3,14
4,14
5,14
6,3
7,3
8,3
9,3
10,14
11,3
12,14
13,1
14,14
15,14
16,14
17,3
18,14
19,3
20,3
21,3
22,3
23,14
24,14
25,1
26,14
27,14
28,14
29,14
30,14
31,1
32,14
33,1
34,1
35,14
36,14
37,14
38,14
39,14
40,1
41,14
42,14
43,14
44,1
45,1
46,14
47,1
48,4
49,4
50,14
51,14
52,4
53,14
54,14
55,14
56,14
57,14
58,14
59,14
60,14
61,3
62,3
63,3
64,3
65,1
66,4
67,4
68,14
69,14
70,14
71,1
72,14
73,4
74,14
75,1
76,14
77,14
78,14
79,1
80,14
81,1
82,14
83,4
84,14
85,4
86,14
87,14
88,1
89,14
90,14
91,14
92,14
93,14
94,14
95,14
96,14
97,14
98,14
99,14
100,1
101,14
102,1
103,14
104,14
105,14
106,14
107,14
108,1
109,14
110,14
111,14
112,14
113,14
114,14
115,1
116,4
117,14
118,14
119,1
120,1
121,1
122,14
123,14
124,14
125,14
126,14
127,14
128,14
129,1
130,14
131,1
132,14
133,14
134,14
135,4
136,4
137,4
138,14
139,14
140,14
141,14
142,1
143,14
144,14
145,1
146,1
147,14
148,14
149,14
150,14
151,14
152,14
153,1
154,1
155,1
156,3
157,3
158,3
159,1
160,1
161,1
162,14
163,4
164,1
165,1
166,14
167,14
168,14
169,14
170,1
171,14
172,14
173,14
174,14
175,14
176,1
177,4
178,4
179,14
180,14
181,1
182,14
183,14
184,4
185,14
186,14
187,1
188,1
189,14
190,14
191,1
192,4
193,14
194,4
195,4
196,1
197,4
198,14
199,4
200,14
201,4
202,1
203,14
204,14
205,1
206,1
207,14
208,1
209,14
210,14
211,14
212,4
213,1
214,14
215,14
216,1
217,1
218,14
219,1
220,14
221,14
222,1
223,4
224,14
225,1
226,14
227,14
228,14
229,14
230,1
231,1
232,14
233,14
234,1
235,1
236,14
237,14
238,1
239,14
240,14
241,14
242,1
243,14
244,1
245,14
246,14
247,14
248,1
249,1
250,1
251,14
252,14
253,4
254,14
255,14
256,1
257,14
258,14
259,3
260,14
261,14
262,1
263,4
264,4
265,14
266,14
267,14
268,14
269,4
270,4
271,4
272,14
273,1
274,4
275,1
276,1
277,14
278,14
279,1
280,14
281,14
282,4
283,1
284,1
285,14
286,1
287,14
288,1
289,14
290,14
291,1
292,14
293,1
294,1
295,1
296,1
297,4
298,1
299,14
300,14
301,1
302,14
303,1
304,4
305,14
306,4
307,14
308,1
309,1
310,1
311,14
312,1
313,14
314,1
315,14
316,1
317,1
318,14
319,1
320,1
321,10
322,10
323,1
324,1
325,10
326,14
327,4
328,14
329,1
330,1
331,4
332,14
333,1
334,1
335,1
336,1
337,4
338,1
339,3
340,3
341,14
342,14
343,1
344,1
345,4
346,1
347,1
348,1
349,4
350,1
351,1
352,1
353,1
354,4
355,1
356,1
357,1
358,4
359,1
360,4
361,10
362,4
363,1
364,1
365,4
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,4
376,1
377,1
378,1
379,10
380,1
381,4
382,3
383,3
384,3
385,14
386,4
387,1
388,1
389,1
390,4
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,4
402,1
403,1
404,4
405,1
406,1
407,4
408,10
409,4
410,1
411,1
412,1
413,1
414,1
415,1
416,10
417,4
418,1
419,1
420,10
421,10
422,1
423,1
424,1
425,10
426,10
427,1
428,1
429,1
430,1
431,4
432,10
433,1
434,1
435,4
436,1
437,1
438,1
439,14
440,14
441,3
442,3
443,3
444,14
445,1
446,10
447,4
448,1
449,1
450,1
451,10
452,1
453,10
454,10
455,1
456,1
457,1
458,1
459,4
460,1
461,1
462,1
463,1
464,1
465,4
466,1
467,1
468,4
469,4
470,1
471,4
472,1
473,1
474,1
475,1
476,10
477,1
478,1
479,10
480,4
481,1
482,4
483,10
484,4
485,10
486,4
487,10
488,10
489,4
490,1
491,10
492,10
493,10
494,1
495,1
496,10
497,1
498,14
499,3
500,4
501,1
502,4
503,10
504,10
505,1
506,10
507,10
508,1
509,4
510,1
511,10
512,4
513,1
514,10
515,10
516,1
517,10
518,4
519,10
520,1
521,4
522,1
523,10
524,10
525,4
526,10
527,4
528,1
529,10
530,10
531,10
532,10
533,10
534,4
535,1
536,10
537,10
538,4
539,10
540,1
541,10
542,1
543,4
544,1
545,10
546,1
547,4
548,1
549,4
550,10
551,1
552,10
553,10
554,10
555,4
556,1
557,10
558,10
559,8
560,1
561,1
562,10
563,10
564,10
565,8
566,10
567,8
568,4
569,8
570,4
571,3
572,3
573,14
574,3
575,3
576,1
577,10
578,10
579,8
580,4
581,4
582,10
583,1
584,4
585,10
586,8
587,8
588,4
589,4
590,1
591,8
592,10
593,8
594,10
595,10
596,4
597,10
598,4
599,4
600,10
601,8
602,10
603,8
604,10
605,8
606,10
607,10
608,4
609,8
610,8
611,8
612,4
613,10
614,10
615,4
616,8
617,4
618,8
619,4
620,4
621,10
622,4
623,10
624,10
625,8
626,10
627,4
628,4
629,10
630,10
631,10
632,8
633,10
634,4
635,8
636,4
637,4
638,10
639,4
640,4
641,6
642,14
643,3
644,14
645,8
646,10
647,4
648,10
649,10
650,10
651,4
652,10
653,8
654,8
655,10
656,8
657,8
658,10
659,4
660,8
661,10
662,4
663,10
664,8
665,10
666,4
667,8
668,10
669,4
670,8
671,10
672,10
673,10
674,4
675,10
676,4
677,8
678,8
679,10
680,4
681,4
682,10
683,8
684,10
685,4
686,8
687,8
688,8
689,10
690,4
691,10
692,8
693,10
694,4
695,4
696,4
697,10
698,10
699,8
700,8
701,8
702,4
703,10
704,8
705,10
706,8
707,4
708,8
709,10
710,10
711,4
712,10
713,8
714,10
715,4
716,8
717,10
718,10
719,14
720,3
721,14
722,8
723,10
724,8
725,10
726,4
727,8
728,4
729,8
730,4
731,8
732,10
733,8
734,10
735,8
736,8
737,8
738,10
739,4
740,10
741,4
742,4
743,10
744,4
745,10
746,4
747,10
748,8
749,10
750,10
751,10
752,4
753,8
754,4
755,4
756,10
757,4
758,10
759,10
760,8
761,10
762,8
763,6
764,6
765,3
766,14
767,4
768,4
769,8
770,8
771,10
772,10
773,8
774,4
775,4
776,4
777,4
778,8
779,4
780,4
781,8
782,10
783,8
784,4
785,8
786,8
787,8
788,10
789,8
790,8
791,8
792,8
793,8
794,8
795,8
796,4
797,4
798,8
799,8
800,8
801,8
802,8
803,8
804,3
805,14
806,6
807,14
808,6
809,8
810,8
811,8
812,8
813,8
814,8
815,4
816,4
817,8
818,8
819,8
820,8
821,8
822,8
823,8
824,8
825,8
826,8
827,14
828,6
829,3
830,8
831,8
832,8
833,8
834,8
835,8
836,8
837,8
838,8
839,8
840,8
841,8
842,8
843,6
844,8
845,8
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,6
866,3
867,14
868,6
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
